/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,0,132936
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,1,104584
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,2,1896
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,3,1184
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,4,1432
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,5,1216
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,6,1080
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,7,1320
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,8,1720
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,9,4104
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,10,16816
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,11,27040
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,12,6112
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,13,232224
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,14,34192
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,15,32544
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,16,35464
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,17,32248
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,18,34144
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,19,47072
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,20,49392
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,21,47384
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,22,44048
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,23,14696
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,24,648
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,25,113976
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,26,5792
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,27,6008
/Users/havenville/mystuff/PhD_R/2023-09-15_Entropy/Demo/backend/downloads/Humpty_Dumpty_Grocery_Store__CoComelon_Nursery_Rhymes__Kids_Songs_hxOApe1P9dM.webm,28,5792
